istanza,num_richieste,richieste_esclusi,archi_attivi,tempo_sec,soluzione_trovata
ipdptw-n100-ber0.txt,50,8.0,17,602.03,True
ipdptw-n100-ber1.txt,50,8.0,17,124.43,True
ipdptw-n100-ber2.txt,50,8.0,17,77.48,True
ipdptw-n100-ber3.txt,50,8.0,17,602.13,True
ipdptw-n100-ber4.txt,50,8.0,17,477.86,True
ipdptw-n100-ber5.txt,50,8.0,17,72.34,True
ipdptw-n100-ber6.txt,50,8.0,17,601.92,True
ipdptw-n100-ber7.txt,50,6.0,13,7.91,True
ipdptw-n100-ber8.txt,50,8.0,17,64.07,True
ipdptw-n100-ber9.txt,50,8.0,17,601.94,True
ipdptw-n20-ber.txt,10,4.0,9,0.14,True
ipdptw-n20-ber0.txt,10,6.0,13,0.16,True
ipdptw-n20-ber1.txt,10,2.0,5,0.12,True
ipdptw-n20-ber2.txt,10,2.0,5,0.11,True
ipdptw-n20-ber3.txt,10,4.0,9,0.15,True
ipdptw-n20-ber4.txt,10,4.0,9,0.12,True
ipdptw-n20-ber5.txt,10,4.0,9,0.19,True
ipdptw-n20-ber6.txt,10,2.0,5,0.12,True
ipdptw-n20-ber7.txt,10,4.0,9,0.22,True
ipdptw-n20-ber8.txt,10,6.0,13,0.15,True
ipdptw-n20-ber9.txt,-,-,-,2.62,False
ipdptw-n200-ber0.txt,100,8.0,17,607.44,True
ipdptw-n200-ber1.txt,100,8.0,17,607.27,True
ipdptw-n200-ber2.txt,100,8.0,17,607.39,True
ipdptw-n200-ber3.txt,100,8.0,17,607.27,True
ipdptw-n200-ber4.txt,100,8.0,17,607.42,True
ipdptw-n200-ber5.txt,100,8.0,17,666.03,True
ipdptw-n200-ber6.txt,100,8.0,17,610.9,True
ipdptw-n200-ber7.txt,100,8.0,17,607.6,True
ipdptw-n200-ber8.txt,100,10.0,21,607.56,True
ipdptw-n200-ber9.txt,100,8.0,17,607.92,True
