istanza,num_richieste,richieste_servite,tempo_sec,soluzione_trovata,gap
input_modello_10.json,20,12.0,595.65,True,0.0
input_modello_10a.json,20,10.0,600.45,True,75.84
input_modello_10b.json,20,10.0,600.47,True,54.81
input_modello_10c.json,20,12.0,600.57,True,95.95
input_modello_10d.json,20,12.0,600.46,True,46.91
input_modello_12.json,24,10.0,600.56,True,98.16
input_modello_12a.json,24,14.0,600.73,True,97.32
input_modello_12b.json,24,12.0,600.74,True,97.61
input_modello_12c.json,24,12.0,600.57,True,81.66
input_modello_12d.json,24,10.0,600.65,True,98.51
input_modello_15.json,30,16.0,600.85,True,97.72
input_modello_15a.json,30,14.0,600.89,True,98.32
input_modello_15b.json,30,12.0,600.93,True,98.04
input_modello_15c.json,30,20.0,600.86,True,97.13
input_modello_15d.json,30,12.0,600.86,True,86.91
input_modello_17.json,34,8.0,601.25,True,98.84
input_modello_17a.json,34,18.0,601.23,True,85.98
input_modello_17b.json,34,18.0,601.48,True,98.45
input_modello_17c.json,34,16.0,601.34,True,98.31
input_modello_17d.json,34,16.0,601.11,True,75.83
input_modello_20.json,40,24.0,601.47,True,98.56
input_modello_5.json,10,6.0,1.54,True,0.0
input_modello_5a.json,10,4.0,1.18,True,0.0
input_modello_5b.json,10,6.0,0.42,True,0.0
input_modello_5c.json,10,6.0,1.49,True,0.0
input_modello_5d.json,10,6.0,2.87,True,0.0
input_modello_8.json,16,14.0,78.31,True,0.0
input_modello_8a.json,16,10.0,260.92,True,0.0
input_modello_8b.json,16,8.0,600.44,True,94.74
