istanza,num_richieste,richieste_servite,tempo_sec,soluzione_trovata
input_modello_10.json,20,12.0,600.51,True
input_modello_10a.json,20,10.0,600.46,True
input_modello_10b.json,20,10.0,600.47,True
input_modello_10c.json,20,12.0,600.47,True
input_modello_10d.json,20,12.0,600.53,True
input_modello_12.json,24,10.0,600.6,True
input_modello_12a.json,24,14.0,600.54,True
input_modello_12b.json,24,12.0,600.63,True
input_modello_12c.json,24,12.0,600.56,True
input_modello_12d.json,24,10.0,600.59,True
input_modello_15.json,30,16.0,600.88,True
input_modello_15a.json,30,14.0,600.88,True
input_modello_15b.json,30,12.0,600.97,True
input_modello_15c.json,30,20.0,600.88,True
input_modello_15d.json,30,12.0,600.86,True
input_modello_17.json,34,8.0,601.08,True
input_modello_17a.json,34,18.0,601.06,True
input_modello_17b.json,34,18.0,601.12,True
input_modello_17c.json,34,16.0,601.11,True
input_modello_17d.json,34,16.0,601.13,True
input_modello_20.json,40,24.0,601.46,True
input_modello_5.json,10,6.0,1.55,True
input_modello_5a.json,10,4.0,1.3,True
input_modello_5b.json,10,6.0,0.44,True
input_modello_5c.json,10,6.0,1.49,True
input_modello_5d.json,10,6.0,3.02,True
input_modello_8.json,16,14.0,78.41,True
input_modello_8a.json,16,10.0,258.44,True
input_modello_8b.json,16,8.0,600.4,True
